Date,WAC
1/1/2022,0
1/2/2022,0
1/3/2022,0
1/4/2022,7988.328333
1/5/2022,0
1/6/2022,0
1/7/2022,3633
1/8/2022,0
1/9/2022,0
1/10/2022,10417
1/11/2022,0
1/12/2022,0
1/13/2022,0
1/14/2022,0
1/15/2022,0
1/16/2022,0
1/17/2022,1752
1/18/2022,0
1/19/2022,0
1/20/2022,0
1/21/2022,4219.54
1/22/2022,0
1/23/2022,0
1/24/2022,2317.252
1/25/2022,1780.45
1/26/2022,13500
1/27/2022,14160
1/28/2022,0
1/29/2022,0
1/30/2022,0
1/31/2022,13785.39333
2/1/2022,2511.6
2/2/2022,0
2/3/2022,3440.77
2/4/2022,0
2/5/2022,0
2/6/2022,0
2/7/2022,3168.65
2/8/2022,4012.183333
2/9/2022,0
2/10/2022,10511.89
2/11/2022,12867.79
2/12/2022,0
2/13/2022,0
2/14/2022,0
2/15/2022,976.765
2/16/2022,0
2/17/2022,0
2/18/2022,0
2/19/2022,0
2/20/2022,295.62
2/21/2022,1800
2/22/2022,6785
2/23/2022,0
2/24/2022,0
2/25/2022,10699.38222
2/26/2022,0
2/27/2022,0
2/28/2022,2964
3/1/2022,5207.85
3/2/2022,3097.975
3/3/2022,166758.4667
3/4/2022,0
3/5/2022,0
3/6/2022,0
3/7/2022,0
3/8/2022,0
3/9/2022,0
3/10/2022,8766.18
3/11/2022,0
3/12/2022,0
3/13/2022,0
3/14/2022,0
3/15/2022,0
3/16/2022,0
3/17/2022,0
3/18/2022,7597.135
3/19/2022,0
3/20/2022,0
3/21/2022,1110.22
3/22/2022,0
3/23/2022,26543.12
3/24/2022,1609.11
3/25/2022,0
3/26/2022,0
3/27/2022,0
3/28/2022,0
3/29/2022,0
3/30/2022,0
3/31/2022,0
