Date,WAC
11/3/2019,0
11/4/2019,2147.085
11/5/2019,0
11/6/2019,2705
11/7/2019,0
11/8/2019,6882.355
11/9/2019,0
11/10/2019,0
11/11/2019,4260.426
11/12/2019,1366.506
11/13/2019,0
11/14/2019,0
11/15/2019,0
11/16/2019,0
11/17/2019,0
11/18/2019,7646.07
11/19/2019,0
11/20/2019,0
11/21/2019,1093.3
11/22/2019,6810.75
11/23/2019,0
11/24/2019,0
11/25/2019,3660.905
11/26/2019,0
11/27/2019,788.27
11/28/2019,0
11/29/2019,9673.973333
11/30/2019,0
12/1/2019,0
12/2/2019,3500.5
12/3/2019,1602.98
12/4/2019,6458.5
12/5/2019,456.054
12/6/2019,0
12/7/2019,0
12/8/2019,0
12/9/2019,1286.6
12/10/2019,12381.24
12/11/2019,2167.685
12/12/2019,20300
12/13/2019,0
12/14/2019,0
12/15/2019,0
12/16/2019,3007.23
12/17/2019,1474.575
12/18/2019,2637.5
12/19/2019,0
12/20/2019,2295.97
12/21/2019,0
12/22/2019,0
12/23/2019,0
12/24/2019,0
12/25/2019,0
12/26/2019,0
12/27/2019,2120
12/28/2019,0
12/29/2019,0
12/30/2019,783
12/31/2019,1533.5
