Date,WAC
1/1/2019,10000
1/2/2019,10000
1/3/2019,1398.672
1/4/2019,0
1/5/2019,0
1/6/2019,0
1/7/2019,984.72
1/8/2019,3499.4
1/9/2019,0
1/10/2019,0
1/11/2019,0
1/12/2019,0
1/13/2019,0
1/14/2019,1122.09
1/15/2019,800
1/16/2019,0
1/17/2019,0
1/18/2019,366.28
1/19/2019,0
1/20/2019,0
1/21/2019,6675
1/22/2019,0
1/23/2019,0
1/24/2019,0
1/25/2019,0
1/26/2019,0
1/27/2019,0
1/28/2019,0
1/29/2019,0
1/30/2019,0
1/31/2019,0
2/1/2019,2640
2/2/2019,0
2/3/2019,0
2/4/2019,0
2/5/2019,0
2/6/2019,11487.3
2/7/2019,0
2/8/2019,1158.32
2/9/2019,0
2/10/2019,0
2/11/2019,759.86
2/12/2019,0
2/13/2019,0
2/14/2019,184.02
2/15/2019,0
2/16/2019,0
2/17/2019,0
2/18/2019,0
2/19/2019,0
2/20/2019,0
2/21/2019,240
2/22/2019,0
2/23/2019,0
2/24/2019,0
2/25/2019,950
2/26/2019,1607.68
2/27/2019,0
2/28/2019,7786
3/1/2019,2562.916
3/2/2019,0
3/3/2019,0
3/4/2019,1650
3/5/2019,0
3/6/2019,759
3/7/2019,0
3/8/2019,719.1833333
3/9/2019,0
3/10/2019,0
3/11/2019,0
3/12/2019,324.025
3/13/2019,0
3/14/2019,0
3/15/2019,0
3/16/2019,0
3/17/2019,0
3/18/2019,0
3/19/2019,0
3/20/2019,0
3/21/2019,17.385
3/22/2019,1752.26
3/23/2019,6216.38
3/24/2019,0
3/25/2019,5300.195
3/26/2019,0
3/27/2019,4485.615
3/28/2019,1252
3/29/2019,0
3/30/2019,0
3/31/2019,0
4/1/2019,0
4/2/2019,44443.7325
4/3/2019,0
4/4/2019,0
4/5/2019,1085.2
4/6/2019,0
4/7/2019,0
4/8/2019,4675.24
4/9/2019,0
4/10/2019,0
4/11/2019,0
4/12/2019,950
4/13/2019,0
4/14/2019,0
4/15/2019,10933.125
4/16/2019,0
4/17/2019,0
4/18/2019,0
4/19/2019,0
4/20/2019,0
4/21/2019,0
4/22/2019,999.24
4/23/2019,2295
4/24/2019,0
4/25/2019,7500
4/26/2019,2250
4/27/2019,0
4/28/2019,0
4/29/2019,6774.368571
4/30/2019,2766.81
5/1/2019,0
5/2/2019,0
5/3/2019,0
5/4/2019,0
5/5/2019,0
5/6/2019,93972.5
5/7/2019,1043.596667
5/8/2019,0
5/9/2019,6152.198
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/13/2019,0
5/14/2019,1572.7
5/15/2019,826.71
5/16/2019,56.275
5/17/2019,0
5/18/2019,0
5/19/2019,0
5/20/2019,0
5/21/2019,0
5/22/2019,0
5/23/2019,1371.393333
5/24/2019,1871860
5/25/2019,0
5/26/2019,0
5/27/2019,0
5/28/2019,939.5
5/29/2019,5739.786
5/30/2019,0
5/31/2019,0
6/1/2019,0
6/2/2019,0
6/3/2019,17269.93778
6/4/2019,0
6/5/2019,694.53
6/6/2019,0
6/7/2019,0
6/8/2019,0
6/9/2019,0
6/10/2019,15000
6/11/2019,0
6/12/2019,0
6/13/2019,0
6/14/2019,6281.07
6/15/2019,0
6/16/2019,0
6/17/2019,2004.642
6/18/2019,0
6/19/2019,2447.218
6/20/2019,3367.333333
6/21/2019,0
6/22/2019,0
6/23/2019,0
6/24/2019,22626.99
6/25/2019,0
6/26/2019,0
6/27/2019,0
6/28/2019,0
6/29/2019,0
6/30/2019,0
7/1/2019,0
7/2/2019,3189.9
7/3/2019,22000
7/4/2019,0
7/5/2019,0
7/6/2019,0
7/7/2019,0
7/8/2019,0
7/9/2019,8575
7/10/2019,0
7/11/2019,0
7/12/2019,0
7/13/2019,0
7/14/2019,0
7/15/2019,10166.52
7/16/2019,0
7/17/2019,0
7/18/2019,852.13
7/19/2019,2361.42
7/20/2019,0
7/21/2019,0
7/22/2019,4000
7/23/2019,0
7/24/2019,0
7/25/2019,0
7/26/2019,0
7/27/2019,0
7/28/2019,0
7/29/2019,0
7/30/2019,0
7/31/2019,0
8/1/2019,0
8/2/2019,0
8/3/2019,0
8/4/2019,0
8/5/2019,11550
8/6/2019,19800
8/7/2019,0
8/8/2019,0
8/9/2019,1040
8/10/2019,0
8/11/2019,0
8/12/2019,0
8/13/2019,0
8/14/2019,1617.555
8/15/2019,0
8/16/2019,21000
8/17/2019,0
8/18/2019,0
8/19/2019,2275.97
8/20/2019,4916.67
8/21/2019,10900
8/22/2019,3637.675
8/23/2019,682.55
8/24/2019,0
8/25/2019,0
8/26/2019,0
8/27/2019,5716.045
8/28/2019,0
8/29/2019,729.47
8/30/2019,0
8/31/2019,0
9/1/2019,0
9/2/2019,0
9/3/2019,850
9/4/2019,0
9/5/2019,2549.02
9/6/2019,0
9/7/2019,0
9/8/2019,0
9/9/2019,1745.15
9/10/2019,204.02
9/11/2019,0
9/12/2019,0
9/13/2019,0
9/14/2019,0
9/15/2019,0
9/16/2019,2706.986667
9/17/2019,0
9/18/2019,0
9/19/2019,2406.9825
9/20/2019,12351.89
9/21/2019,0
9/22/2019,0
9/23/2019,0
9/24/2019,845.43
9/25/2019,5594.65
9/26/2019,0
9/27/2019,0
9/28/2019,0
9/29/2019,0
9/30/2019,5594.65
10/1/2019,3424.216667
10/2/2019,1959.858
10/3/2019,0
10/4/2019,0
10/5/2019,0
10/6/2019,0
10/7/2019,2732.75
10/8/2019,762.1333333
10/9/2019,0
10/10/2019,825.17
10/11/2019,0
10/12/2019,0
10/13/2019,0
10/14/2019,0
10/15/2019,465.5
10/16/2019,0
10/17/2019,995
10/18/2019,0
10/19/2019,0
10/20/2019,0
10/21/2019,17179.8
10/22/2019,772.43
10/23/2019,0
10/24/2019,0
10/25/2019,23896.13
10/26/2019,0
10/27/2019,0
10/28/2019,1931.745
10/29/2019,0
10/30/2019,0
10/31/2019,0
11/1/2019,0
11/2/2019,0
